name,latitude,longitude,image,date
New Orleans,29.951065,-90.071533,IMG_6507,2/10/2022
Sharp Hall,29.93937396595391, -90.11853830101394,IMG_7263,2/25/2022
LBC Quad,29.9396,-90.1202,IMG_6535,2/11/2022
Metairie, 29.9841, -90.1529,IMG_7250,2/13/2022
Monroe Hall, 29.93870035761665, -90.11870488540863,IMG_7255,2/18/2022
Gibson Quad, 29.93627244568053, -90.12231240629878,IMG_7257,2/20/2022
Frenchman Street, 29.964383951613765, -90.05784131794108,IMG_7249,2/12/2022
Dixon Hall, 29.94102444174093, -90.12168550877452,IMG_7268,3/07/2022
The Rum House, 29.92436083204548, -90.08607487561352,IMG_7267,3/05/2022
Rue De La Course, 29.94759369086792, -90.12994237376301,IMG_7285,3/04/2022
FLY, 29.919727888645998, -90.13391160444796,IMG_7284,3/05/2002
St Charles, 29.926885642647807, -90.10083026027061,IMG_7264,2/27/2022
Walmart, 30.00390315024363, -90.22929227376156,IMG_7260,2/23/2022
SDT House, 29.940939024490824, -90.12395726212014,IMG_7259,2/15/2022
